Маппинг muz.xlsx → Заявки+обращения_объединено.xlsx (Sheet1)

Переменная | muz.xlsx (колонка) | 1: откуда брать | 2: если пусто
---------- | ------------------ | -------------- | ------------
mrf | МРФ | Обращение.РД | РД
region | Регион | Обращение.РФ | РФ
reg_dt | Дата/время регистрации | Обращение.Дата/время создания обращения в ЛМ | Дата, время создания заявки
channel | Канал поступления заявки | Обращение.Канал поступления обращения | Канал поступления заявки
service | Услуга | Обращение.Предлагаемая услуга | Предлагаемая услуга (где итоговая услуга)
equip_price | Цена реализованного оборудования (с НДС) | Выручка от продажи оборудования, для "Услуга подключена" | 
inn | ИНН | Обращение.ИНН | ИНН
segment | Сегмент | Обращение.Сегмент | Сегмент
exec_name | ФИО исполнителя (на кого назначена) | Обращение.ФИО исполнителя | ФИО исполнителя заявки
exec_podr | Подразделение исполнителя (на кого назначена) | Обращение.Канал обработки | Канал обработки
accept_dt | Дата, время принятия заявки в работу,первичное | Обращение.Дата, время принятия обращения в работу, первичное | Дата, время создания заявки
primary_name | ФИО сотрудника, принявшего заявку в работу, первичное | Обращение.ФИО Исполнителя первичное | ФИО исполнителя заявки
primary_podr | Подразделение сотрудника, принявшего заявку в работу, первичное | Обращение.Первичный канал обработки | Канал обработки
sla_cont | SLA первичного контакта (нарушен/не нарушен) | Обращение.SLA первичного контакта (нарушен/не нарушен) | 
sla_acc | SLA принятия заявки в работу первичное (нарушен/не нарушен) | (формула из отчёта Мигробяна) | 
transfer_dt | Дата, время передачи в другую очередь |  | 
connection_result | Результат подключения (да/нет) | ЕСЛИ(Статус="Услуга подключена";"да";"") | 
connector_name | Сотрудник, осуществивший подключение | ФИО исполнителя заявки (если Статус="Услуга подключена") | Обращение.ФИО исполнителя
connected_services_cnt | Количество подключенных услуг | Количество подключенных услуг | 
install_amount | Сумма инсталляционного платежа, руб. | Выручка за инсталляцию, для статуса "Услуга подключена" | 
monthly_amount | Сумма ежемесячного платежа, руб. | Периодическая выручка, для статуса "Услуга подключена" | 
final_dt | Дата, время перевода в итоговый статус | Дата, время обновления статуса заявки (если статус итоговый) | 
final_status | Итоговый статус | (формула) | 
final_reason | Причина | Причина | 
current_status | Текущий статус заявки на дату формирования отчета | Статус | 
current_exec | Текущий исполнитель, у кого заявка в работе | ФИО исполнителя заявки | Обращение.ФИО исполнителя
current_podr | Подразделение сотрудника, у которого сейчас заявка в работе | Канал обработки | 
hrs_since_reg | Кол-во часов с момента регистрации заявки | Обращение.Кол-во часов с момента создания обращения | 
hrs_in_status | Кол-во часов с момента перехода в текущий статус | Обращение.Кол-во часов с момента перехода в текущий статус обращения | Кол-во часов с момента перехода в текущий статус

